我还看了一个口碑不错的电影叫星际穿越给我的感觉超棒	有一部电影最后一支舞你可以看一下。好的有时间我看看吧。我还看了一个口碑不错的电影叫星际穿越给我的感觉超棒。
明星宋承宪代表作浪漫风暴挺好的一个明星推荐你关注	你有关注韩国的明星吗。有啊韩国首尔的都有关注。明星宋承宪代表作浪漫风暴挺好的一个明星推荐你关注。
大红灯笼高高挂是很有才华感觉和别的导演色彩都不一样	哎呀不行我要再去看看大红灯笼高高挂怀念一下。经典就是经典这部电影的导演太厉害了还在1998年捧获威尼斯金狮奖呢。是很有才华感觉和别的导演色彩都不一样。
那我去看看火龙对决是不是有真龙	我不信你信。看了火龙对决这部电影我感觉龙是真实存在的推荐给你看看你就信了。那我去看看是不是有真龙。
你有臭袜子	你袜子好臭。我没有臭袜子。你有。
我也是我超喜欢上帝之城里面的费尔南多梅里尔斯超级眩镜头干净利落估计拍了不少的广告和mv	那你一定知道上帝之城获得了东京国际电影节大奖的提名咯。当然啦这电影我看了好几遍的。我也是我超喜欢里面的费尔南多梅里尔斯超级眩镜头干净利落估计拍了不少的广告和mv。
没有ios好	安卓好用吗。你评价一下安卓。没有ios好。
戴思杰导演的电影不错呢我很喜欢戴思杰导演的电影	你喜欢谁导演的电影呢。我喜欢安东尼罗素和乔罗素他们导演的电影。戴思杰导演的电影不错呢我很喜欢。
呼和浩特明天气温有点低	明天气温多少度。呼和浩特明天最高温度27度最低温度14度气温宜人和好朋友一起出去玩吧。气温有点低。
妙手情真这么大义凛然的剧吗还献身	什么剧。妙手情真讲一个医生为医学献身的故事。这么大义凛然的剧吗还献身。
我小时候看的芭比电影也是	美女与野兽找她拍太合适。迪斯尼电影很多都是那种演着演着就唱起来的。我小时候看的芭比电影也是。
海洋导演是雅克贝汉	这是部剧情类型的电影还有一部也是剧情类的电影推荐给你。片名是什么。海洋导演是雅克贝汉。
处女座有多严重呀	处女座有洁癖。是的。你有多严重呀。
小鼓用了什么工艺	古琴用了什么工艺。1.选择制作古琴的材料;2.在古琴材料上用铅笔画出琴体的形状大小,画出琴徽的各处龙池凤沼的位置;3.用斧子和刨刀刨出一个有弧度的古琴面板形状,做出槽腹、底板和古琴附件;4.对古琴材料进行刮灰胎和对琴体上漆;5.对古琴上弦和进行调音。。小鼓呢。
小姐姐叫赵今麦呢	是啊我最近好喜欢一位小姐姐她好厉害的呢。是谁啊。她叫赵今麦呢。
戴志斌是男人就应该付钱	戴志斌是不是你。戴志斌是男人。他是男人就应该付钱。
黑衣3	那我们去看前些年上映的外国片。要得片子名叫什么。黑衣人3。
你旧时光主题曲是什么	你好旧时光。小说你好旧时光主题曲。是什么。
原来是迪安德夫林啊这下我知道了	这个我还真不知道呢能告诉我叫什么名字吗。叫迪安德夫林他的独立日提名过1997年第23届土星奖土星奖最佳编剧。原来是他啊这下我知道了。
我爱的人在卫生间吗	我爱的人在哪里。在你隔壁.利物浦哈哈。他在卫生间吗。
你看过我最好朋友的婚礼吗	谁是我最好朋友的婚礼的导演。影视信息早知道，小布帮你查到《我最好朋友的婚礼》的导演是陈飞宏哦，要不要一起看看这部剧呢？。你看过吗。
哈哈你说的是吴孟达达叔吧吴孟达达叔是周星驰的固定配角呢	特别喜欢周星驰的电影是陪伴我童年的经典呀。我也特别喜欢他而且总是有固定的高演技演员一起觉得很温馨。哈哈你说的是吴孟达达叔吧他是周星驰的固定配角呢。
好的抽时间去看看姐姐的守护者	没有看。名字是姐姐的守护者咱们明天上午一起看看吧。好的抽时间去看看。
艾力克托兰达导演的名字我就不太知道了	是啊国外的有些电影确实是好看啊。是的不知道你认不认识一位导演叫艾力克托兰达。导演的名字我就不太知道了。
火影忍者讲来听听	你看动漫吗。火影忍者。讲来听听。
不可能你长的这么漂亮	你有男朋友了吗。要是我说没有你会相信嘛。不可能你长的这么漂亮。
达斯汀霍夫曼达斯汀霍夫曼被称为影帝	这是一部口碑不错的爱情电影电影里有位演员我很喜欢。谁啊。达斯汀霍夫曼他被称为影帝。
r3说他说有电	袋鼠的弱点。不会倒退往回走只能掉头。r3说他说有电。
你哥不是有关领导的原则	你哥那个呢。追星女孩的世界遍地都是哥哥。他不是有关领导的原则。
对啊而且吴甜甜还演了不少电影	哇我看那个吴甜甜居然这么小这么优秀了。这是一个演员嘛。对啊而且还演了不少电影。
百年孤独的作者是谁	你知道百年孤独吗。怎么说呢伟大但是令人恐惧无法摆脱的孤独与无力梦想与激情皆成泡影说实话这小说不适合我你喜欢。它的作者是谁。
你说的中国幽默人物的领头羊是谁啊	我一定认真看。这部电影里面的男主演演技很好网友们都说他是中国幽默人物的领头羊哈哈。你说的是谁啊。
很久之前的复仇者联盟应该是第一部吧	复仇者联盟你有看过吗。看过啊那是很久之前了。很久之前的应该是第一部吧。
好有意思的电影名字	喜欢啊你知道有什么好看的么。我最喜欢大明猩这部电影。好有意思的电影名字。
薛之谦是靠自己	薛之谦。我觉得薛之谦成为段子手才红的。他是靠自己。
那你肯定知道陈楚河陈楚河在你们学院进修过	你知道中国文化大学吗。知道我就是那里毕业的。那你肯定知道陈楚河他在你们学院进修过。
护垫侠的名字感觉很奇葩啊	就喜欢剧情类型的电影你快说说吧。这部电影叫护垫侠是r巴尔金导演的。这部电影的名字感觉很奇葩啊。
哈哈哈对对极品基老伴名字比较像基佬是伊恩麦克莱恩演的哦	对啊你看过极品基老伴啊。没有看过但是听名字就感觉是英国的。哈哈哈对对名字比较像基佬是伊恩麦克莱恩演的哦。
何晴是解放军艺术学院戏剧系艺术硕士毕业	一定记住了。何晴是中国浙江的一个女孩血型是o型我知道的多吧。厉害我就很弱了我只知道她是解放军艺术学院戏剧系艺术硕士毕业。
发送想额娘啦	给额娘发短信。你要发送什么内容？。发送想她啦。
他告诉你去吧多吃点他说	我还是说他要吃饭。去吧多吃点。他告诉你去吧多吃点他说。
我见过siri	那你认识SIRI吗。怎么突然提起她了，我吃醋啦。。我见过他。
影子写手是谁的代表作还真不知道	前几天刚看了影子写手还是和朋友一块看的呢。那你知道这部电影是谁的代表作吗。这个还真不知道。
找我爱的人复合前做出一些改变	我是女生想把我爱的人追回来。怎么追。找他复合前做出一些改变。
杭州有家啥呀	杭州哪里东西好吃。下沙有家呀。有家啥呀。
哪部电影	倪萍是奶奶了不过我很喜欢她。还有一部网评说鸡皮疙瘩掉一地的电影我觉得很好看推荐给你吧。哪部电影。
我还真是不关注啊那凌潇肃现在和谁一起呢	凌潇肃不适合姚晨吗。早就离婚了呀你能不能紧跟八卦潮流。我还真是不关注啊那他现在和谁一起呢。
没看过一路向前只是听朋友提起过	你说的是哪一部电影呢。电影名字叫一路向前网上评论说应该是一部喜剧片看片花觉得很有感触。没看过这部影片只是听朋友提起过。
什么时候才能多几个跟蔡少芬一样厉害的演员啊	现在好看演技又好的演员真的是越来越少了。对啊毕竟现在都是靠脸的。什么时候才能多几个跟蔡少芬一样厉害的演员啊。
你看过证人吗	谢霆锋演的证人什么时候上映。小布在手，资讯全有。《证人》于2008年正式上映。。你看过吗。
这么巧啊空之境界电影版第二章杀人考察前的主演谁啊	既然是动画片我就去看看空之境界电影版第二章杀人考察前谢谢了。这部剧的主演跟你还是一个院校毕业的也是桐朋学园大学短期大学。这么巧啊谁啊。
王欣是快播老板	王欣。王欣是谁。是快播老板。
宇宙是什么	请你科普一下宇宙。帮我科普一下。是什么。
纯真年代男主角还演过什么电影	申河均在纯真年代扮演的是谁。申河均在纯真时代中饰演的是金闵宰。男主角还演过什么电影。
让熊猫飞我看过感觉还行啊就是不知道让熊猫飞在表达什么	我感觉挺好啊。可能每个人的想法都不一样吧他演了一部让熊猫飞的电影是关于熊猫的。让熊猫飞我看过感觉还行啊就是不知道他在表达什么。
我们也是其他的	我不开心。何以解忧唯有暴富。我们也是其他的。
是么	你是冰洁么。自带光环。是么。
是滴洛克王国3圣龙的守护还是蛮好看的	是的2014年7月10号上映的洛克王国3圣龙的守护。嗯虽然定位很低龄化但制作还是比较精良的支持一下。是滴还是蛮好看的。
蒂姆波顿是谁啊	你这一说蒂姆波顿我也想起来啦。他还有个口碑不错的好友。是谁啊。
